Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
lava,159 g,MediaTek MT6737M,"ARM Cortex-A53, 1250 MHz, Cores: 4","ARM Mali-T720 MP2, 550 MHz, Cores: 2","3 GB, 640 MHz",32 GB,"microSD, microSDHC, microSDXC","5.2 in, IPS, 720 x 1280 pixels, 24 bit","2750 mAh, Li-Polymer",Star OS 4.1 (Android 7.0 Nougat),"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","Micro-SIM, Nano-SIM / microSD","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/0abd462a,https://www.devicespecifications.com/images/model/0abd462a/320/main.jpg,Z90;
lava,137 g,MediaTek MT6737M,"ARM Cortex-A53, 1250 MHz, Cores: 4","ARM Mali-T720 MP2, 550 MHz, Cores: 2","3 GB, 640 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Star OS 4.1 (Android 7.0 Nougat),"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","Micro-SIM, Nano-SIM / microSD","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/e83a4629/320/main.jpg,Z80;
lava,140 g,MediaTek MT6737M,"ARM Cortex-A53, 1250 MHz, Cores: 4","ARM Mali-T720 MP2, 550 MHz, Cores: 2","2 GB, 640 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Star OS 4.1 (Android 7.0 Nougat),"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/540a4628/320/main.jpg,Z70;
lava,149 g,MediaTek MT6737M,"ARM Cortex-A53, 1100 MHz, Cores: 4","ARM Mali-T720 MP2, 550 MHz, Cores: 2","1 GB, 640 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 480 x 854 pixels, 24 bit","2500 mAh, Li-Polymer",Star OS 4.1 (Android 7.0 Nougat),"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/c4c945ff/320/main.jpg,Z60;
lava,160 g,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2",2 GB,16 GB,"microSD, microSDHC","5 in, IPS, 480 x 854 pixels, 24 bit","2350 mAh, Li-Polymer",Android 7.0 Nougat,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/c21444ba/320/main.jpg,A97 2GB+;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",2 GB,16 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","3000 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/6b83445f/320/main.jpg,A93;
lava,160 g,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 800 pixels, 24 bit","2000 mAh, Li-Polymer",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/09884359/320/main.jpg,A77;
lava,163 g,MediaTek MT6750,"4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8","ARM Mali-T860 MP2, 520 MHz, Cores: 2","4 GB, 667 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","3020 mAh, Li-Polymer",Star OS 3.3 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","Micro-SIM, Nano-SIM / microSD","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/1c934232,https://www.devicespecifications.com/images/model/1c934232/320/main.jpg,Z25;
lava,148 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","2 GB, 3 GB, 533 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2650 mAh, Li-Polymer",Star OS 3.3 (Android 6.0 Marshmallow),"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/f5ef4231,https://www.devicespecifications.com/images/model/f5ef4231/320/main.jpg,Z10;
lava,,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, TFT, 480 x 800 pixels, 24 bit","2200 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/d6974198/320/main.jpg,A73;
